Year,Season,Rk,Team,G,Pts/G,TotPts,Yds,Net Yds,Lng,Avg,Net Avg,Blk,Punts,OOB,Dn,TB,FC,Ret,IN 20,RetY,TD
2016,Reg,32,Washington Redskins,16,24.8,396,"2,209","1,907",61,45.1,38.9,0,49,7,4,4,7,27,15,222,0
2016,Pre,1,New York Giants,4,12,48,"1,513","1,240",65,45.8,37.6,1,32,3,5,1,3,20,9,253,0
2016,Pre,2,New York Jets,4,15.2,61,"1,441","1,214",60,46.5,39.2,0,31,2,5,2,5,17,12,187,1
2016,Pre,3,Washington Redskins,4,20,80,"1,340","1,172",74,49.6,43.4,0,27,4,1,2,4,16,11,128,0
2016,Pre,4,Buffalo Bills,4,13.8,55,"1,310","1,162",61,43.7,38.7,0,30,4,2,2,7,15,9,108,0
2016,Pre,5,Philadelphia Eagles,4,20.2,81,"1,248","1,033",62,46.2,38.3,1,26,1,3,6,3,13,3,95,0
2016,Pre,6,Cleveland Browns,4,11,44,"1,243","1,006",75,49.7,40.2,0,25,2,4,3,4,12,8,177,1
2016,Pre,7,Oakland Raiders,4,19.5,78,"1,223","1,040",69,51,43.3,0,24,3,0,5,7,9,11,83,0
2016,Pre,8,Seattle Seahawks,4,19.5,78,"1,187",991,66,51.6,43.1,0,23,0,0,2,3,18,7,156,0
2016,Pre,9,Minnesota Vikings,4,21.2,85,"1,178",960,63,45.3,36.9,0,26,1,3,2,4,16,9,178,1
2016,Pre,10,Green Bay Packers,4,16.2,65,"1,155","1,024",62,42.8,37.9,1,26,1,3,2,8,12,11,91,0
2016,Pre,10,Jacksonville Jaguars,4,18.8,75,"1,155",976,64,46.2,39,0,25,1,6,1,5,12,9,159,0
2016,Pre,12,Pittsburgh Steelers,4,12.5,50,"1,129","1,012",61,47,42.2,0,24,2,1,0,6,15,5,117,0
2016,Pre,13,Tampa Bay Buccaneers,4,19.8,79,"1,050",985,55,45.7,42.8,0,23,1,1,0,6,15,7,65,0
2016,Pre,14,Chicago Bears,4,12.5,50,"1,049",806,61,47.7,36.6,1,21,2,0,1,2,16,2,223,0
2016,Pre,15,New England Patriots,4,21.2,85,"1,021",872,53,44.4,37.9,0,23,1,1,0,5,16,7,149,0
2016,Pre,16,Miami Dolphins,4,17,68,"1,019",871,58,42.5,36.3,0,24,3,1,1,4,15,8,128,0
2016,Pre,17,Los Angeles Rams,4,20.8,83,"1,017",888,54,46.2,40.4,0,22,2,2,4,6,8,4,49,0
2016,Pre,18,Houston Texans,4,25.5,102,"1,014",936,75,48.3,44.6,0,21,1,2,1,5,12,8,58,0
2016,Pre,19,Denver Broncos,4,20,80,992,961,56,41.3,40,0,24,3,4,1,5,11,10,11,0
2016,Pre,20,Indianapolis Colts,4,18.2,73,961,801,67,48.1,40.1,1,19,4,0,3,3,9,5,100,0
